route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
1,Bronzeville/Union Station,1/1/21,199.4,0,0,3987
2,Hyde Park Express,1/1/21,415.7,0,0,8314
3,King Drive,1/1/21,5477.3,4155.1,2891.1,147668
4,Cottage Grove,1/1/21,8095.1,5921.4,4010.6,215573
5,South Shore Night Bus,1/1/21,159.7,114.7,155.4,4699
6,Jackson Park Express,1/1/21,2823.5,2807.7,1993.5,82469
7,Harrison,1/1/21,1142.8,0,0,22855
8,Halsted,1/1/21,5732.5,4267.1,2895.5,153359
8A,South Halsted,1/1/21,1168.6,1069.5,607.6,32366
9,Ashland,1/1/21,7606.2,7715.1,5452.2,223414
X9,Ashland Express,1/1/21,2524.6,0,0,50492
11,Lincoln,1/1/21,569.8,352.6,245.5,14633
12,Roosevelt,1/1/21,4702.9,3123.3,2118.9,122389
J14,Jeffery Jump,1/1/21,3353.1,2154.7,1447.5,86521
15,Jeffery Local,1/1/21,2732.4,2137.9,1592.3,74891
18,16th/18th,1/1/21,1282.2,931.4,603.1,33921
20,Madison,1/1/21,5604,4011.8,2942.8,149796
21,Cermak,1/1/21,3347.1,2873.7,1624.5,91057
22,Clark,1/1/21,5813.4,4774.9,3402.4,160557
24,Wentworth,1/1/21,671.4,0,0,13429
26,South Shore Express,1/1/21,1442.7,0,0,28854
28,Stony Island,1/1/21,1983.8,1459.7,950.7,52678
29,State,1/1/21,3139.5,2504.5,1814.5,86200
30,South Chicago,1/1/21,1014.8,842.7,466,27306
31,31st,1/1/21,152.6,0,0,3052
34,South Michigan,1/1/21,1832.9,1536.3,969.6,50158
35,31st/35th,1/1/21,1455.4,922.4,617.7,37425
36,Broadway,1/1/21,4948.9,5272.8,3176,144398
37,Sedgwick,1/1/21,157.1,0,0,3143
39,Pershing,1/1/21,658,281.1,204.9,15794
43,43rd,1/1/21,542.4,354.4,235.7,14035
44,Wallace-Racine,1/1/21,1102,599.5,404.6,27465
47,47th,1/1/21,4035.9,2937.7,2039.3,107643
48,South Damen,1/1/21,248.1,0,0,4963
49,Western,1/1/21,6124.2,5538.9,3965.1,173970
49B,North Western,1/1/21,2002.3,1577.2,1244.1,55397
X49,Western Express,1/1/21,1690.5,0,0,33810
50,Damen,1/1/21,2910.7,1694.6,1168.7,73700
51,51st,1/1/21,470.8,344.3,247,12619
52,Kedzie,1/1/21,3310.3,2347.6,1466.4,86744
52A,South Kedzie,1/1/21,1472,924.7,564.6,37452
53,Pulaski,1/1/21,7376.4,5323.3,3807.3,196989
53A,South Pulaski,1/1/21,2263.3,1285.6,795.8,56468
54,Cicero,1/1/21,4351.9,3286.1,2153.1,116387
54A,North Cicero/Skokie Blvd.,1/1/21,236.5,0,0,4730
54B,South Cicero,1/1/21,1180.2,922.1,524.4,31360
55,Garfield,1/1/21,3128.9,2390.7,1771.9,85164
55A,55th/Austin,1/1/21,62.6,0,0,1251
55N,55th/Narragansett,1/1/21,163.5,107.4,0,3808
56,Milwaukee,1/1/21,2789.9,2206.9,1345.7,74905
57,Laramie,1/1/21,786.3,469.8,263.4,19656
59,59th/61st,1/1/21,1105.8,711,0,25672
60,Blue Island/26th,1/1/21,3008.6,2076.5,1447,79237
62,Archer,1/1/21,3043.1,2143.7,1726.9,81941
62H,Archer/Harlem,1/1/21,383.6,246,0,8902
63,63rd,1/1/21,5806.7,4372.2,3481.2,158882
63W,West 63rd,1/1/21,544.3,276.3,250.2,13769
65,Grand,1/1/21,1951.6,1322.1,893.3,51003
66,Chicago,1/1/21,6867.2,4885.8,3506.9,182814
67,67th-69th-71st,1/1/21,3681.6,2590.6,2162.4,99560
68,Northwest Highway,1/1/21,414.5,286,164.1,10705
70,Division,1/1/21,2801.5,2011.4,1508.2,75137
71,71st/South Shore,1/1/21,3801.7,3151.1,2193.1,104949
72,North,1/1/21,5046.6,4060,2799,138027
73,Armitage,1/1/21,1527.7,980.9,761.4,40027
74,Fullerton,1/1/21,3974.2,3018.8,1996,106555
75,74th-75th,1/1/21,2701,2094.2,1524.5,73638
76,Diversey,1/1/21,4242.7,2632.7,1648.6,107910
77,Belmont,1/1/21,6356.5,4656.3,3210.6,169675
78,Montrose,1/1/21,2128.3,1588.6,1101.2,57117
79,79th,1/1/21,9883.4,7776,5603.1,270167
80,Irving Park,1/1/21,3913.9,2953.2,1972.6,104880
81,Lawrence,1/1/21,4613.7,3724.8,2695.4,127071
81W,West Lawrence,1/1/21,636.9,363.8,223.7,15898
82,Kimball-Homan,1/1/21,5842,4474.5,3243,158670
84,Peterson,1/1/21,1203.2,722.3,451,30381
85,Central,1/1/21,3842.7,2655.1,2163.7,103111
85A,North Central,1/1/21,251.4,187.2,0,5963
86,Narragansett/Ridgeland,1/1/21,524.2,0,0,10484
87,87th,1/1/21,4127,2973.8,2308,111257
88,Higgins,1/1/21,450,241.9,215.1,11500
90,Harlem,1/1/21,1953.5,1240.2,816.2,50168
91,Austin,1/1/21,2422.6,1555.4,1005.8,62263
92,Foster,1/1/21,2310.5,1474.5,1072.7,60018
93,California/Dodge,1/1/21,1241.2,702,0,28334
94,California,1/1/21,3806.4,2379.2,1770.2,98645
95,95th,1/1/21,2319.4,1660.8,1260.5,62254
96,Lunt,1/1/21,298.6,0,0,5973
97,Skokie,1/1/21,1148.8,709.8,548.1,29813
X98,Avon Express,1/1/21,16.1,10,0,319
100,Jeffery Manor Express,1/1/21,193.8,0,0,3876
103,West 103rd,1/1/21,741,538.3,389,19845
106,East 103rd,1/1/21,371.9,200.4,135.8,9254
108,Halsted/95th,1/1/21,320.4,0,0,6408
111,111th/King Drive,1/1/21,1139,783.7,565.6,30092
111A,Pullman Shuttle,1/1/21,133.3,139.9,106.5,4005
112,Vincennes/111th,1/1/21,564.8,351.5,241.1,14500
115,Pullman/115th,1/1/21,999.3,717.7,563.1,26953
119,Michigan/119th,1/1/21,1621.8,1224,967.4,44359
120,Ogilvie/Streeterville Express,1/1/21,46.7,0,0,935
121,Union/Streeterville Express,1/1/21,66.9,0,0,1338
124,Navy Pier,1/1/21,136.1,143.7,88.5,3973
125,Water Tower Express,1/1/21,112.9,0,0,2259
126,Jackson,1/1/21,1444.2,937.6,779.2,38246
134,Stockton/LaSalle Express,1/1/21,130,0,0,2600
135,Clarendon/LaSalle Express,1/1/21,202.5,0,0,4051
136,Sheridan/LaSalle Express,1/1/21,220.5,0,0,4410
143,Stockton/Michigan Express,1/1/21,208.9,0,0,4178
146,Inner Drive/Michigan Express,1/1/21,3728.8,2909.9,2135.5,101937
147,Outer Drive Express,1/1/21,4121.6,3407.1,2386.9,113788
148,Clarendon/Michigan Express,1/1/21,424.3,0,0,8486
151,Sheridan,1/1/21,4529.2,3979.1,2748.1,126968
152,Addison,1/1/21,2382.2,1422.9,894.1,60123
155,Devon,1/1/21,2570.2,2103.9,1523.2,71062
156,LaSalle,1/1/21,613.6,0,0,12271
157,Streeterville/Taylor,1/1/21,1056.9,0,0,21139
165,West 65th,1/1/21,74.6,0,0,1493
169,69th-UPS Express,1/1/21,68.4,23,0,1414
171,U. of Chicago/Hyde Park,1/1/21,213.2,75.9,0,4643
172,U. of Chicago/Kenwood,1/1/21,296.1,160.2,131,7509
192,U. of Chicago Hospitals Express,1/1/21,170.9,0,0,3418
201,Central/Ridge,1/1/21,579.7,413.7,0,13662
206,Evanston Circulator,1/1/21,65.4,0,0,1308
1001,Shuttle/Special Event Route,1/1/21,85.2,1565.6,1396.5,17912
1,Bronzeville/Union Station,2/1/21,224.1,0,0,4483
2,Hyde Park Express,2/1/21,489.1,0,0,9781
3,King Drive,2/1/21,5488.2,4255.7,2971.4,138673
4,Cottage Grove,2/1/21,7966.6,5634.6,3673,196562
5,South Shore Night Bus,2/1/21,167.5,150.3,131.2,4476
6,Jackson Park Express,2/1/21,2771.8,2912.3,2063.9,75341
7,Harrison,2/1/21,1191.3,0,0,23826
8,Halsted,2/1/21,6176.2,4787.5,3139.1,155229
8A,South Halsted,2/1/21,1008.9,888.2,561.4,25976
9,Ashland,2/1/21,7873.2,7928.4,5538.6,211331
X9,Ashland Express,2/1/21,2680.7,0,0,53614
11,Lincoln,2/1/21,587.7,381,220.3,14159
12,Roosevelt,2/1/21,4780.4,3202.8,2162.7,117070
J14,Jeffery Jump,2/1/21,3146.2,2156.5,1473.1,77443
15,Jeffery Local,2/1/21,2685.6,2151.2,1434.9,68057
18,16th/18th,2/1/21,1388.9,1120.4,698.4,35054
20,Madison,2/1/21,5552.4,3835.8,2867.2,137860
21,Cermak,2/1/21,3252.8,2574.1,1629.1,81868
22,Clark,2/1/21,6501.2,5169.4,4018.4,166776
24,Wentworth,2/1/21,660.9,0,0,13217
26,South Shore Express,2/1/21,1419.1,0,0,28382
28,Stony Island,2/1/21,1892.7,1351,816.1,46522
29,State,2/1/21,2960.9,2167.3,1759.9,74927
30,South Chicago,2/1/21,953.1,742.6,441.5,23799
31,31st,2/1/21,179.9,0,0,3598
34,South Michigan,2/1/21,1642.7,1346.4,921.3,41925
35,31st/35th,2/1/21,1500.5,920,651.5,36295
36,Broadway,2/1/21,5398.4,5174,3545,142845
37,Sedgwick,2/1/21,181.6,0,0,3632
39,Pershing,2/1/21,624.8,271.4,188.2,14333
43,43rd,2/1/21,532.3,317.6,214.8,12776
44,Wallace-Racine,2/1/21,1057.5,584.3,393.9,25062
47,47th,2/1/21,4110.1,2870.5,2033.5,101818
48,South Damen,2/1/21,258.3,0,0,5166
49,Western,2/1/21,6252.3,5509.8,3976,162989
49B,North Western,2/1/21,2079.8,1486.1,1207.8,52372
X49,Western Express,2/1/21,1773.4,0,0,35467
50,Damen,2/1/21,3406.7,1950.2,1335.4,81277
51,51st,2/1/21,499.1,397.2,263.6,12624
52,Kedzie,2/1/21,3238.4,2308.8,1511,80047
52A,South Kedzie,2/1/21,1454.1,886.4,591.1,34992
53,Pulaski,2/1/21,7303.4,5293.6,3911.1,182886
53A,South Pulaski,2/1/21,2245.6,1234.3,757.6,52880
54,Cicero,2/1/21,4230.5,3005,2127.8,105141
54A,North Cicero/Skokie Blvd.,2/1/21,225.9,0,0,4518
54B,South Cicero,2/1/21,1096.9,813.1,509.4,27228
55,Garfield,2/1/21,3201.5,2575.2,1836.9,81678
55A,55th/Austin,2/1/21,68.2,0,0,1364
55N,55th/Narragansett,2/1/21,155.7,100,0,3515
56,Milwaukee,2/1/21,2972.7,1996.6,1498.3,73435
57,Laramie,2/1/21,787.3,443.3,241.5,18485
59,59th/61st,2/1/21,1107,747.9,0,25132
60,Blue Island/26th,2/1/21,3227.9,2175.1,1436.2,79003
62,Archer,2/1/21,3148.5,2121,1759.4,78492
62H,Archer/Harlem,2/1/21,379.3,214.2,0,8443
63,63rd,2/1/21,5544.9,4206.2,3136.8,140271
63W,West 63rd,2/1/21,536.1,250.2,251.5,12730
65,Grand,2/1/21,2039.7,1455.5,929.1,50333
66,Chicago,2/1/21,7396.4,5391.3,3788.7,184648
67,67th-69th-71st,2/1/21,3703.7,2455.9,2023.7,91992
68,Northwest Highway,2/1/21,367.8,239.6,139.4,8873
70,Division,2/1/21,3007.6,2149.1,1569.2,75026
71,71st/South Shore,2/1/21,3578.6,2844.1,2002.7,90960
72,North,2/1/21,5259.2,4062.6,2887.4,132985
73,Armitage,2/1/21,1682.3,1020.6,735.7,40672
74,Fullerton,2/1/21,4294.9,3047.6,2150.7,106691
75,74th-75th,2/1/21,2670,2100.5,1441.8,67570
76,Diversey,2/1/21,4141.2,2792.6,1719.2,100872
77,Belmont,2/1/21,6799.6,4694.3,3426.1,168474
78,Montrose,2/1/21,2250.3,1598.1,989,55354
79,79th,2/1/21,9714.3,8011.3,5693.1,249103
80,Irving Park,2/1/21,4038.1,3168.9,1979.6,101356
81,Lawrence,2/1/21,4985.7,3863.6,2954.1,126985
81W,West Lawrence,2/1/21,666.4,356.4,224.1,15650
82,Kimball-Homan,2/1/21,6055.4,4357.8,3276.1,151643
84,Peterson,2/1/21,1241.9,742.3,403.2,29420
85,Central,2/1/21,3904.6,2842.2,1930.3,97182
85A,North Central,2/1/21,245.8,162.5,0,5566
86,Narragansett/Ridgeland,2/1/21,495.4,0,0,9908
87,87th,2/1/21,3987.1,3050.5,2317,101211
88,Higgins,2/1/21,479.8,273.4,146.4,11275
90,Harlem,2/1/21,1857.8,1197.7,729.1,44862
91,Austin,2/1/21,2408.8,1531.6,1037.1,58450
92,Foster,2/1/21,2496.3,1503.5,1218,60813
93,California/Dodge,2/1/21,1318.4,731.1,0,29293
94,California,2/1/21,4027,2507.8,1792.7,97742
95,95th,2/1/21,2099.8,1529.5,1124.9,52613
96,Lunt,2/1/21,310.6,0,0,6211
97,Skokie,2/1/21,1138.1,760.3,597.8,28195
X98,Avon Express,2/1/21,12.2,9.3,0,229
100,Jeffery Manor Express,2/1/21,187.4,0,0,3749
103,West 103rd,2/1/21,686.3,445.8,282.3,16638
106,East 103rd,2/1/21,468.9,245,183.8,11093
108,Halsted/95th,2/1/21,298.6,0,0,5972
111,111th/King Drive,2/1/21,1041.5,705.9,502.9,25666
111A,Pullman Shuttle,2/1/21,121.3,114,95.2,3263
112,Vincennes/111th,2/1/21,547,345.2,205.8,13143
115,Pullman/115th,2/1/21,930,667.3,522.3,23358
119,Michigan/119th,2/1/21,1490.4,1092.2,890.4,37738
120,Ogilvie/Streeterville Express,2/1/21,52.4,0,0,1049
121,Union/Streeterville Express,2/1/21,76.8,0,0,1536
124,Navy Pier,2/1/21,143.5,173.9,84.7,3903
125,Water Tower Express,2/1/21,124.6,0,0,2493
126,Jackson,2/1/21,1449.4,994.7,776.2,36071
134,Stockton/LaSalle Express,2/1/21,153.2,0,0,3064
135,Clarendon/LaSalle Express,2/1/21,245.3,0,0,4907
136,Sheridan/LaSalle Express,2/1/21,245.1,0,0,4903
143,Stockton/Michigan Express,2/1/21,260.9,0,0,5219
146,Inner Drive/Michigan Express,2/1/21,3984.1,3166.1,2378.4,101861
147,Outer Drive Express,2/1/21,4222.3,3541.7,2450.5,108415
148,Clarendon/Michigan Express,2/1/21,460.4,0,0,9208
151,Sheridan,2/1/21,4875.3,4262.4,2880.9,126080
152,Addison,2/1/21,2658.9,1562.7,1106,63852
155,Devon,2/1/21,2661.9,2088.1,1528.1,67702
156,LaSalle,2/1/21,712.9,0,0,14258
157,Streeterville/Taylor,2/1/21,1252.1,0,0,25042
165,West 65th,2/1/21,81.2,0,0,1624
169,69th-UPS Express,2/1/21,64.9,0,0,1297
171,U. of Chicago/Hyde Park,2/1/21,285.5,89.9,0,6069
172,U. of Chicago/Kenwood,2/1/21,417.3,155.7,197.1,9756
192,U. of Chicago Hospitals Express,2/1/21,184.2,0,0,3684
201,Central/Ridge,2/1/21,698.6,515.1,0,16033
206,Evanston Circulator,2/1/21,67.6,0,0,1352
1001,Shuttle/Special Event Route,2/1/21,39.6,50.4,67.5,1264
1,Bronzeville/Union Station,3/1/21,234.7,0,0,5397
2,Hyde Park Express,3/1/21,584.4,0,0,13441
3,King Drive,3/1/21,6651,5460.5,4074,191112
4,Cottage Grove,3/1/21,9278.4,7044.5,4817.3,260849
5,South Shore Night Bus,3/1/21,182.6,153.1,132,5340
6,Jackson Park Express,3/1/21,3345.5,3819.2,2934.4,103961
7,Harrison,3/1/21,1388.9,0,0,31944
8,Halsted,3/1/21,7145.4,5616.3,3992.3,202779
8A,South Halsted,3/1/21,1316.8,1195.8,719.4,37948
9,Ashland,3/1/21,8900.1,9890.6,7088.2,272617
X9,Ashland Express,3/1/21,2922.8,0,0,67225
11,Lincoln,3/1/21,657,459,324.3,18244
12,Roosevelt,3/1/21,5342.4,3889.9,2575.6,148738
J14,Jeffery Jump,3/1/21,3691.7,2787.2,1960.9,103902
15,Jeffery Local,3/1/21,3056.8,2436.4,1780.7,87176
18,16th/18th,3/1/21,1494.1,1179.3,819.8,42360
20,Madison,3/1/21,6717.2,4791.2,3869.7,189139
21,Cermak,3/1/21,3947.3,3479.1,2310.6,113946
22,Clark,3/1/21,7176.1,6630.2,5032,211699
24,Wentworth,3/1/21,856,0,0,19688
26,South Shore Express,3/1/21,1540.4,0,0,35429
28,Stony Island,3/1/21,2190,1830.1,1230.4,62613
29,State,3/1/21,3562.4,2964.4,2080,102114
30,South Chicago,3/1/21,1124.3,974.7,520.7,31840
31,31st,3/1/21,183.1,0,0,4211
34,South Michigan,3/1/21,1815.3,1509,1009.3,51825
35,31st/35th,3/1/21,1648.2,1103,818.8,45595
36,Broadway,3/1/21,6143.4,6455.4,4454.1,184936
37,Sedgwick,3/1/21,202.8,0,0,4664
39,Pershing,3/1/21,757.8,323.7,279.3,19840
43,43rd,3/1/21,643,376.4,295.5,17478
44,Wallace-Racine,3/1/21,1215.7,780.4,504.2,33100
47,47th,3/1/21,4554.6,3806.2,2649.7,130581
48,South Damen,3/1/21,280.7,0,0,6457
49,Western,3/1/21,7137.7,6641.3,5000.3,210734
49B,North Western,3/1/21,2428.4,1938.7,1591,69973
X49,Western Express,3/1/21,1942.5,0,0,44677
50,Damen,3/1/21,3807.7,2387,1690.2,103886
51,51st,3/1/21,598.7,478.6,339.1,17042
52,Kedzie,3/1/21,3641.6,2816,1870.1,102502
52A,South Kedzie,3/1/21,1738.7,1029.5,748.5,47102
53,Pulaski,3/1/21,8204.1,6522.3,4662.2,233432
53A,South Pulaski,3/1/21,2762.5,1705.4,1142.3,74929
54,Cicero,3/1/21,4935.7,3917.8,2938.7,140948
54A,North Cicero/Skokie Blvd.,3/1/21,263.1,0,0,6051
54B,South Cicero,3/1/21,1344.5,1153.8,756.9,38567
55,Garfield,3/1/21,3702.7,2991.8,2466.6,106996
55A,55th/Austin,3/1/21,74.6,0,0,1715
55N,55th/Narragansett,3/1/21,175,133.1,0,4556
56,Milwaukee,3/1/21,3386.3,2681.6,1916.4,96277
57,Laramie,3/1/21,915,557.6,323.1,24568
59,59th/61st,3/1/21,1273.8,879.3,0,32815
60,Blue Island/26th,3/1/21,3687.5,2917.7,2133.1,105015
62,Archer,3/1/21,3592.2,2874.7,2435,103861
62H,Archer/Harlem,3/1/21,428.9,277.8,0,10976
63,63rd,3/1/21,6381.2,5152.2,3981.6,183302
63W,West 63rd,3/1/21,632.2,325.5,294.8,17022
65,Grand,3/1/21,2356.6,1832.5,1360.3,66974
66,Chicago,3/1/21,8197.8,6164.7,4659.3,231845
67,67th-69th-71st,3/1/21,4140.7,3084.7,2467,117444
68,Northwest Highway,3/1/21,433,252.6,185.2,11710
70,Division,3/1/21,3300.7,2612.2,2103,94777
71,71st/South Shore,3/1/21,4042.2,3353.9,2353.9,115802
72,North,3/1/21,6023.4,4904.8,3766.1,173223
73,Armitage,3/1/21,1931.9,1233.8,950.2,53169
74,Fullerton,3/1/21,4768.6,3837.8,2896.2,136614
75,74th-75th,3/1/21,3144,2669.8,1781.7,90118
76,Diversey,3/1/21,4714.7,3557.1,2298.5,131860
77,Belmont,3/1/21,7635.8,6010.4,4451.8,217473
78,Montrose,3/1/21,2559.6,2074.2,1455.8,72990
79,79th,3/1/21,10770.2,9099.6,6810.5,311356
80,Irving Park,3/1/21,4520.4,3857.5,2807.1,130628
81,Lawrence,3/1/21,5493.9,4566.9,3629.5,159145
81W,West Lawrence,3/1/21,705.5,423.2,316.6,19185
82,Kimball-Homan,3/1/21,6872.2,5391.7,4034.1,195764
84,Peterson,3/1/21,1374.6,943.2,657.4,38019
85,Central,3/1/21,4329.2,3279.2,2519.2,122765
85A,North Central,3/1/21,285.8,215.6,0,7435
86,Narragansett/Ridgeland,3/1/21,611.7,0,0,14069
87,87th,3/1/21,4661.8,3759.8,2598.4,132655
88,Higgins,3/1/21,482.2,275.4,214.5,13051
90,Harlem,3/1/21,2166.1,1646.7,1161.9,61054
91,Austin,3/1/21,2756.3,1923.2,1316.7,76355
92,Foster,3/1/21,2786.7,1871.2,1435.2,77320
93,California/Dodge,3/1/21,1507.2,904,0,38283
94,California,3/1/21,4626.4,3045.8,2312.3,127839
95,95th,3/1/21,2524.5,2080.5,1536.9,72533
96,Lunt,3/1/21,341.7,0,0,7859
97,Skokie,3/1/21,1347.3,937.3,762.1,37785
X98,Avon Express,3/1/21,11.9,6.2,0,208
100,Jeffery Manor Express,3/1/21,221.1,0,0,5086
103,West 103rd,3/1/21,788.9,545.5,416,21990
106,East 103rd,3/1/21,431,251.4,199,11715
108,Halsted/95th,3/1/21,325.3,0,0,7481
111,111th/King Drive,3/1/21,1257.6,892.6,678.5,35208
111A,Pullman Shuttle,3/1/21,156.6,136,111.3,4592
112,Vincennes/111th,3/1/21,638.4,438.8,288,17589
115,Pullman/115th,3/1/21,1080.9,807.6,599.4,30490
119,Michigan/119th,3/1/21,1690.6,1371,1037.6,48519
120,Ogilvie/Streeterville Express,3/1/21,51.1,0,0,1175
121,Union/Streeterville Express,3/1/21,76.2,0,0,1752
124,Navy Pier,3/1/21,174.2,184.7,116.1,5211
125,Water Tower Express,3/1/21,143.5,0,0,3300
126,Jackson,3/1/21,1675.8,1290.1,970.4,47586
134,Stockton/LaSalle Express,3/1/21,170.5,0,0,3921
135,Clarendon/LaSalle Express,3/1/21,274.1,0,0,6303
136,Sheridan/LaSalle Express,3/1/21,282.9,0,0,6506
143,Stockton/Michigan Express,3/1/21,258.8,0,0,5951
146,Inner Drive/Michigan Express,3/1/21,4710.3,4315.2,3225.8,138501
147,Outer Drive Express,3/1/21,4906.6,4341.2,3362.2,143667
148,Clarendon/Michigan Express,3/1/21,507.5,0,0,11671
151,Sheridan,3/1/21,5484.4,5549.1,3954.4,164155
152,Addison,3/1/21,3045,2053.1,1273.9,83342
155,Devon,3/1/21,2983.1,2508.2,1834,85981
156,LaSalle,3/1/21,793.3,0,0,18245
157,Streeterville/Taylor,3/1/21,1359.6,0,0,31272
165,West 65th,3/1/21,85.8,0,0,1974
169,69th-UPS Express,3/1/21,101.3,23,0,2353
171,U. of Chicago/Hyde Park,3/1/21,243.9,84.7,0,5949
172,U. of Chicago/Kenwood,3/1/21,371.9,158.4,150.3,9788
192,U. of Chicago Hospitals Express,3/1/21,194.4,0,0,4472
201,Central/Ridge,3/1/21,711.7,620.6,0,18851
206,Evanston Circulator,3/1/21,88.3,0,0,2031
1001,Shuttle/Special Event Route,3/1/21,44.7,41.1,515.7,3256
1,Bronzeville/Union Station,4/1/21,247.9,0,0,5455
2,Hyde Park Express,4/1/21,621.7,0,0,13678
3,King Drive,4/1/21,6946.3,4799.5,4010.9,188060
4,Cottage Grove,4/1/21,9495.7,6929.3,5166.4,257289
5,South Shore Night Bus,4/1/21,173.4,165,137.9,5026
6,Jackson Park Express,4/1/21,3625,4114.9,3074,108505
7,Harrison,4/1/21,1463.7,0,0,32201
8,Halsted,4/1/21,7488.5,5805.4,4186.2,204713
8A,South Halsted,4/1/21,1317.6,1098.7,827.2,36691
9,Ashland,4/1/21,8966.2,9274,7445.7,264135
X9,Ashland Express,4/1/21,3063.3,0,0,67392
11,Lincoln,4/1/21,660.7,495.6,333.7,17854
12,Roosevelt,4/1/21,5330.2,3739,2813.1,143472
J14,Jeffery Jump,4/1/21,4026.2,2679.6,2007.5,107325
15,Jeffery Local,4/1/21,3038.3,2370.2,1756.1,83349
18,16th/18th,4/1/21,1567.2,1212.6,843.7,42704
20,Madison,4/1/21,6802.6,4724.6,3891.4,184122
21,Cermak,4/1/21,4214.7,3330.8,2538,116198
22,Clark,4/1/21,7819.5,6484.8,5106,218393
24,Wentworth,4/1/21,873.3,0,0,19213
26,South Shore Express,4/1/21,1510.1,0,0,33222
28,Stony Island,4/1/21,2266.4,1680,1172.3,61270
29,State,4/1/21,3684.5,2992.5,2042.9,101202
30,South Chicago,4/1/21,1170.2,891.9,545.2,31492
31,31st,4/1/21,188.7,0,0,4152
34,South Michigan,4/1/21,1849.1,1388.8,688.6,48989
35,31st/35th,4/1/21,1787.7,1231.3,911.4,47899
36,Broadway,4/1/21,6470.2,6539.4,4683.4,187236
37,Sedgwick,4/1/21,260,0,0,5720
39,Pershing,4/1/21,805.6,347.3,261.6,20159
43,43rd,4/1/21,631.9,436.2,277.1,16755
44,Wallace-Racine,4/1/21,1241.3,663.4,482.7,31894
47,47th,4/1/21,4804.3,3856.2,2734.5,132057
48,South Damen,4/1/21,296.3,0,0,6519
49,Western,4/1/21,7498.5,6534.4,4997.9,211096
49B,North Western,4/1/21,2517.9,1909.6,1616.8,69499
X49,Western Express,4/1/21,2102.3,0,0,46251
50,Damen,4/1/21,4097.4,2526.2,1829.6,107567
51,51st,4/1/21,631.7,442.3,307.7,16897
52,Kedzie,4/1/21,3876.8,2841.7,1962.8,104507
52A,South Kedzie,4/1/21,1759.3,937.3,776.8,45561
53,Pulaski,4/1/21,8257.8,6367.1,4979.5,227059
53A,South Pulaski,4/1/21,2885.4,1691.5,1213.2,75097
54,Cicero,4/1/21,5068,3654.5,2960.9,137957
54A,North Cicero/Skokie Blvd.,4/1/21,299.7,0,0,6594
54B,South Cicero,4/1/21,1356.9,1142.7,825.1,37723
55,Garfield,4/1/21,3791.9,2818.4,2344.7,104075
55A,55th/Austin,4/1/21,83.9,0,0,1845
55N,55th/Narragansett,4/1/21,182.9,124.6,0,4521
56,Milwaukee,4/1/21,3628.9,2612,1974.1,98180
57,Laramie,4/1/21,929.7,551.7,316.6,23928
59,59th/61st,4/1/21,1337.9,948.6,0,33228
60,Blue Island/26th,4/1/21,3948.3,2966.8,2180.9,107454
62,Archer,4/1/21,3695.9,2684.4,2199.3,100844
62H,Archer/Harlem,4/1/21,469.3,286.2,0,11469
63,63rd,4/1/21,6523.7,4879,4066,179301
63W,West 63rd,4/1/21,665.7,330,301,17170
65,Grand,4/1/21,2689.9,1859.4,1352.6,72025
66,Chicago,4/1/21,8442.6,6146.7,4685.3,229066
67,67th-69th-71st,4/1/21,4222.7,3238.6,2403,115465
68,Northwest Highway,4/1/21,458.7,235.9,161.1,11678
70,Division,4/1/21,3498.1,2484,2133.8,95429
71,71st/South Shore,4/1/21,4172.4,3148.2,2483.2,114318
72,North,4/1/21,6310.3,5022.1,3867.6,174386
73,Armitage,4/1/21,2012.7,1190.4,981,52966
74,Fullerton,4/1/21,5179.8,3950.2,2867,141224
75,74th-75th,4/1/21,3139.8,2349.1,1720.3,85354
76,Diversey,4/1/21,5009.6,3439.4,2530.8,134092
77,Belmont,4/1/21,8066.7,5961.7,4611.4,219760
78,Montrose,4/1/21,2746.8,2027.9,1470.5,74422
79,79th,4/1/21,10934,8876.9,6784.4,303194
80,Irving Park,4/1/21,4972.3,3664.5,2798.9,135244
81,Lawrence,4/1/21,5858.1,4604.5,3710.9,162139
81W,West Lawrence,4/1/21,744.4,461.9,323.1,19518
82,Kimball-Homan,4/1/21,7355.2,5167.3,4313.2,199735
84,Peterson,4/1/21,1416,917.6,659.2,37458
85,Central,4/1/21,4614,3164.7,2552,124375
85A,North Central,4/1/21,272.6,170.6,0,6679
86,Narragansett/Ridgeland,4/1/21,701.8,0,0,15439
87,87th,4/1/21,4831.7,3844.1,2705.1,132493
88,Higgins,4/1/21,503.2,286.8,215.7,13081
90,Harlem,4/1/21,2322.3,1640.7,1078,61966
91,Austin,4/1/21,2972.2,1918.7,1389.9,78624
92,Foster,4/1/21,2978.8,1987.4,1500,79483
93,California/Dodge,4/1/21,1626.6,871.3,0,39270
94,California,4/1/21,4924.5,2796,2443,129295
95,95th,4/1/21,2530.1,1952.2,1559.4,69709
96,Lunt,4/1/21,356.7,0,0,7846
97,Skokie,4/1/21,1400.8,1001.8,734,37761
X98,Avon Express,4/1/21,14.2,9.3,0,302
100,Jeffery Manor Express,4/1/21,226.1,0,0,4973
103,West 103rd,4/1/21,809.9,528.4,405.8,21556
106,East 103rd,4/1/21,420.1,260.3,221.5,11169
